name,area,totalRatingsString,deliveryTime,address,locality,cuisines,costForTwoString,,,
UBQ by Barbeque Nation,Bidhannagar,50+ ratings,52,K 1; RDB Boulevard; Block EP&GP Sector 5 Salt Lake; Kolkata; West Bengal 700091,Sector 5,['North Indian' 'Barbecue' 'Biryani' 'Kebabs' 'Mughlai' 'Desserts'],₹300 FOR TWO,,,
Legacy Of China,Bidhannagar,100+ ratings,55,Mega Therm Building(Pantaloons building) ; Sector-V; SDF Bus Stop.,Near SDF Bus Stop,['North Indian' 'Chinese' 'Fast Food'],₹400 FOR TWO,,,
Saffron Pure Veg,Bidhannagar,50+ ratings,51,Shop R4A & 4B; plot 5; block Dp; Sec V ; Salt Lake Kolkata 700091,Sector V Salt Lake,['North Indian' 'Mughlai' 'Beverages' 'Italian'],₹450 FOR TWO,,,
Get A Whey - Healthy Ice Creams,Bidhannagar,Too Few Ratings,49,Ground Floor; DN - 11; DN Block; Sector V; Bidhannagar; Kolkata; West Bengal 700091,Sector V Salt Lake,['Desserts' 'Ice Cream'],₹150 FOR TWO,,,
Sundaram Restaurant,Bidhannagar,Too Few Ratings,57,1A 275 SECTOR III SALT LAKE Kolkata  West Bengal 700106,Salt Lake,['North Indian' 'South Indian' 'Chinese'],₹200 FOR TWO,,,
Tibetan Street,Bidhannagar,50+ ratings,59,NP-246 Nayapatty; Saltlake Sector 5 Post Office karshanapur PS Bidhannar (EC) Kolkatta 700102,Salt Lake Sector 5,['Chinese' 'Thai' 'Tibetan'],₹120 FOR TWO,,,
Faloodah by Purple Foods,Salt Lake,Too Few Ratings,41,Carnival Cinemas Downtown Mall; Beside Cinema Box Office; Block IB- 177 & 178; Sector III; Salt Lake ; Kolkata ; West Bengal 700106,Salt Lake,['Desserts' 'Beverages'],₹200 FOR TWO,,,
Soy Yum,Salt Lake,Too Few Ratings,53,RBD Cinema; 1st Floor; Sector 5; Salt Lake; Kolkata - 700136,Salt Lake,['Asian' 'Chinese'],₹400 FOR TWO,,,
The Samosa Lab,Bidhannagar,100+ ratings,59,NP 375; Nayapatti Main Road; Salt Lake; Sector 5; BIDHANNAGARRAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas.,Salt Lake,['Snacks' 'Beverages'],₹200 FOR TWO,,,
Bijoli Grill-EZCC Salt Lake,Bidhannagar,100+ ratings,48,Eastern Zonal Cultural Centre; Broadway Rd; IB-201; Near Columbia Asia Hospital; Sector III; Salt Lake; Kolkata-700106,Salt Lake,['Bengali' 'Snacks'],₹300 FOR TWO,,,
Burger Cafe,Bidhannagar,20+ ratings,51,Shop No- 232;Nayapatti; Behind Chok Mandir; Sector 5;Saltlake Kolkata-10,Burger Cafe,['Fast Food'],₹200 FOR TWO,,,
Rasam - The Stadel Hotel,Bidhannagar,100+ ratings,51,The Stadel; Gate 3; Salt Lake Stadium; Sector 3; Salt Lake ; Kolkata India,Sector 3,['South Indian'],₹300 FOR TWO,,,
FIRANGI DHABA ( A UNIT OF DAYAL STEEL AND CONSTRUC,Salt Lake,Too Few Ratings,49,PLOT NO- XI/1; TOWER II; EP BLOCK; SECTORV; P.S- SALT LAKE ELECTRONIC COMPLEX; KOLKATA; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal-700091,Salt Lake,['North Indian' 'Pizzas' 'Asian' 'Continental' 'Desserts' 'Beverages'],₹500 FOR TWO,,,
The Chinese Company,Bidhannagar,20+ ratings,49,NP 214; opposite Technopolis; Sector V; Bidhannagar; Kolkagalta; West Ben 700102,Salt Lake,['Chinese'],₹400 FOR TWO,,,
Jahangir's Kitchen,Bidhannagar,100+ ratings,48,NP 214; Opposite Technopolis; Sector 5; Salt Lake; Kolkata,Sector V Salt Lake,['Indian'],₹250 FOR TWO,,,
Bukhara - Biryani, Kebabs & Curries,Bidhannagar,50+ ratings,49,NP 214; OPPOSITE TECHNOPOLIS; SECTOR 5; SALT LAKE; KOLKATA 700102,Sector V Salt Lake,['Biryani' 'Kebabs' 'North Indian' 'Tandoor' 'Combo'],₹400 FOR TWO,,
Bhooter Raja Dilo Bor,Bidhannagar,100+ ratings,55,GROUND FLOOR;SDF BUILDING;SECTOR V;SALTLAKE ,Salt Lake,['Bengali'],₹800 FOR TWO,,,
Express By Ab's,Bidhannagar,50+ ratings,55,Omega Building  1st Floor  GP Block  Sector V  Bidhannagar  Kolkata  West Bengal 700091,Sector V Salt Lake,['Barbecue' 'Biryani' 'Indian' 'Thalis' 'Kebabs' 'Pan-Asian'],₹400 FOR TWO,,,
Kadhai Kitchen,Bidhannagar,Too Few Ratings,49,214; Block NP; Near Technopolis; Sector 5; Salt Lake 700102,Salt Lake,['Biryani' 'Indian' 'Chinese' 'Tandoor' 'Combo'],₹300 FOR TWO,,,
Bowl Break,Bidhannagar,100+ ratings,46,K1; RDB Boulevard; Block EP & GP; Sector 5; Salt Lake,South Kolkata,['North Indian' 'Chinese' 'Continental' 'Desserts' 'Bowl Company' ' Keventers & more'],₹300 FOR TWO,,,
THE FISH COMPANY (,Mani Square Mall,Too Few Ratings,48,164/1; MANIKTALA MAIN ROAD; 3rd FLOOR; MANI SQUARE MALL;; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal-700054,Mani Square Mall,['Continental'],₹300 FOR TWO,,,
Snackoo,Rajarhat,Too Few Ratings,57,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,NEWTOWN,['Beverages' 'Desserts' 'Ice Cream'],₹250 FOR TWO,,,
Waffle Square Express,Bidhannagar,20+ ratings,51,shop no -NP 232; Nayapatti; Salt Lake; Sector V; Kolkata 7000102; beside TECHNOPOLIS,Beside Technopolis,['Desserts'],₹200 FOR TWO,,,
Snackoo Time,Salt Lake,Too Few Ratings,49,NP-232 NAYAPATTI NEAR CHOCK MANDIR KOLKATA-700102,Salt Lake,['Fast Food' 'Italian' 'Desserts'],₹250 FOR TWO,,,
Opium,Bidhannagar,Too Few Ratings,55,J2; Near Infinity Tower; Block GP; Bidhan Nagar; Sector 5; Salt Lake,Near Infinity Tower,['Indian' 'Tandoor' 'Chinese' 'Continental'],₹800 FOR TWO,,,
Biryani Bac,Salt Lake,Too Few Ratings,47,DN-46; SECTOR-V; SALT LAKE; BIDHANNAGAR- RAJARHAT MUNICIPAL CORPORATION; North  Twenty Four Parganas; West Bengal-700091,Salt Lake,['Biryani' 'North Indian' 'Snacks' 'Sweets' 'Beverages'],₹200 FOR TWO,,,
Red Chilly,Salt Lake,Too Few Ratings,45,Ca Market; CA Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064,Salt Lake,['Chinese'],₹400 FOR TWO,,,
Honey da dhaba,KANKURGACHI,500+ ratings,49,P54; C.I.T. Road; Scheme 6M; Near ESI Hospital; Kankurgachi; Kolkata,Kakurgachi,Opposite to ESI Hospital,['North Indian'],₹300 FOR TWO,,
New Labong Cafe & Steakhouse,Bidhannagar,100+ ratings,54,BA152; SECTOR 1; SALT LAKE CITY; BIDHANNAGAR - RAJARHAT MUNICIPAL CORPORATION; NORTH TWENTY FOUR PARGANAS; WEST BENGAL 700064,Nayapatti Main Road (Sec V),['Biryani' 'Continental' 'Steakhouse' 'North Indian' 'American' 'Asian'],₹300 FOR TWO,,,
Apanjan - Salt Lake,Bidhannagar,500+ ratings,46, GP Block; Sector V; Bidhannagar; Kolkata; West Bengal 700091,Bidhannagar,['Chinese' 'Bengali' 'Street Food'],₹200 FOR TWO,,,
SnackUps,Kolkata,50+ ratings,49,shop no -NP 232; Nayapatti; Salt Lake; Sector V; Kolkata 7000102; beside TECHNOPOLIS,Beside Technopolis,['Chinese'],₹200 FOR TWO,,,
Wasabee Salt Lake,Salt Lake,100+ ratings,50,IA-169 SALT LAKE; KOLKATA 9 700097,Salt Lake,['Asian' 'Japanese' 'Thai' 'Chinese' 'Burmese' 'Singaporean' 'Desserts'],₹1000 FOR TWO,,,
SAMBHAR CHUTNEY,Bidhannagar,100+ ratings,46,Net Guru Private Limited; GP Block; Sector V; Bidhannagar; Kolkata; West Bengal; India,Salt Lake,['South Indian' 'Beverages'],₹300 FOR TWO,,,
Blue Tokai Coffee Roasters,Salt Lake,50+ ratings,48,MB-690; Mahisbathan; Saltlake City beside 215-A Bus Stand near Saltlake  Shiksha Niketan School Kolkata; West Bengal -700102,Salt Lake,['Healthy Food' 'Pastas' 'American' 'Lebanese' 'Mediterranean' 'European' 'Juices' 'Middle Eastern'],₹600 FOR TWO,,,
QUICK NOODLE,Salt Lake,50+ ratings,51,AB-079; AB Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700064; India,Salt Lake,['Chinese'],₹220 FOR TWO,,,
CHILLI CHICKEN,Sector V Salt Lake,Too Few Ratings,52,X-1; 8/3; BLOCK-EP; SALT LAKE  ELECTRONICS COMPLEX; SECTOR-V;  BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North  Twenty Four Parganas; West  Bengal; 700091,Sector V Salt Lake,['Chinese' 'Asian'],₹500 FOR TWO,,,
GOOD FOOD CAFE,Sector V Salt Lake,Too Few Ratings,49,INTERNATIONAL TOWER;X-1;8/3;BLOCK-EP;SECTROV;SALT LAKE; KOLKATA.; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas(West Bengal) -700091,Sector V Salt Lake,['Bakery' 'Snacks' 'Fast Food'],₹400 FOR TWO,,,
Kook In Junction,Bidhannagar,100+ ratings,52,Balaram Apartment; Unit 4 Mahisbatan; Sector 5; Salt Lake; Kolkata,mahishbatan,['North Indian' 'Chinese'],₹300 FOR TWO,,,
Abcos Food Plaza,Bidhannagar,100+ ratings,52,IB 172; Behind Columbia Asia Hospital; Sector 3; Salt Lake,Behind Columbia Asia Hospital,['Bengali' 'Continental' 'North Indian' 'Chinese'],₹1200 FOR TWO,,,
CHEEKY CHICKEN,Salt Lake,20+ ratings,51,NP 14; GOVIND BHAWAN; GROUND FLOOR ; NAYAPATTY ; SALT LAKE ; SECTOR V ; KOL 700102,Salt Lake,['American' 'Snacks' 'Burgers' 'Beverages'],₹300 FOR TWO,,,
Ambika's Pseudo Kitchen,Salt Lake,Too Few Ratings,47,House No. HA 103; Sector - 3; Salt  Lake; KOLKATA MUNICIPAL  CORPORATION; Kolkata; ; West  Bengal; 700097,Salt Lake,['Chinese' 'Street Food' 'Snacks'],₹200 FOR TWO,,,
Morsus Duobus (Nilima Kedia),Salt Lake,Too Few Ratings,47,House No. HA 103; Sector - 3; Salt  Lake; KOLKATA MUNICIPAL  CORPORATION; Kolkata; ; West  Bengal; 700097,Salt Lake,['Indian' 'Continental' 'Pizzas'],₹200 FOR TWO,,,
The Verandah,Salt Lake,Too Few Ratings,46,IB 38; IB Block; Sector III; Bidhannagar; Kolkata; West Bengal 700106; India,Salt Lake,['Continental' 'Bengali' 'Cafe'],₹600 FOR TWO,,,
Burger In Town,Salt Lake,20+ ratings,54,N.P.14; 1ST FLOOR;GOBINDA BHABAN; NAYAPATTI; P.O.KRISHNAPUR; P.S.ELECTRONICS COMPLEX; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Salt Lake,['Fast Food' 'Snacks'],₹250 FOR TWO,,,
Awesome,Bidhannagar,20+ ratings,56,IA 268; Sector 3; Kolkata-700097,Near Sugar and Spice,['Chinese' 'Thai'],₹600 FOR TWO,,,
PIZZA SANDWICH & MORE,Salt Lake,Too Few Ratings,54,NP -232 NAYAPATTI;SALTLAKE SECTOR 5;  WARD NO-28; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal - 700102,Salt Lake,['Italian' 'Desserts' 'Beverages'],₹300 FOR TWO,,,
Cremecup.in,Bidhannagar,20+ ratings,57,The Stadel; Yuba Bharati Krirangan Gate No.3; Sector-3; Salt Lake; Kolkata-700106,Salt lake stadium, Gate no 3,['Bakery'],₹250 FOR TWO,,
ANYTIME ICECREAM,Sector 5,Too Few Ratings,50,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Beverages' 'Desserts' 'Ice Cream'],₹300 FOR TWO,,,
VEERS KITCHEN,Sector V Salt Lake,Too Few Ratings,53,NP-232; Nayapatti; (opposite to tecnopolish building; AP Block; Sector V; Bidhannagar; Kolkata; West Bengal 700102; India,Sector V Salt Lake,['Chinese' 'Combo' 'Tandoor' 'North Indian'],₹200 FOR TWO,,,
Darun99,Salt Lake,Too Few Ratings,57,MAHANANDA APARTMENT; NAYAPATTI; P.O KRISHNAPUR; KOLKATA; BIDHANNAGAR RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal-700102,Salt Lake,['North Indian' 'Indian'],₹600 FOR TWO,,,
712  Fried ice cream,Kankurgachi,Too Few Ratings,52,164/1;MANIKTALA MAIN ROAD;P.S PHOOLBAGAN;KOLKATA; BOROUGH- III; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal - 700054,Kankurgachi,['Ice Cream' 'Waffle' 'Desserts' 'Beverages'],₹200 FOR TWO,,,
Shawarma City Express,Bidhannagar,20+ ratings,51,shop no -NP 232; Nayapatti; Salt Lake; Sector V; Kolkata 7000102; beside TECHNOPOLIS,Beside Technopolis,['Lebanese'],₹200 FOR TWO,,,
GIANI ICE CREAM,Salt Lake,50+ ratings,46,KIOSK AT RDB BOULEVARD BUILDING PLOT K1; BLOCK EP & GP SECTOR V; SALT LAKE; KOLKATA,Salt Lake,['Ice Cream' 'Desserts'],₹300 FOR TWO,,,
Hoppipola,Kankurgachi,20+ ratings,60,Mani Square; 4th floor; 164/1; Maniktala Main Road; E.M. By Pass; Kolkata - 700054,Maniktala Main Road,['Fast Food' 'Combo' 'Salads' 'Pizzas' 'Italian' 'Continental' 'European' 'Mediterranean' 'Desserts'],₹1500 FOR TWO,,,
Saanvi's Kitchen,Bidhannagar,20+ ratings,59,NP-230 & 279; Nayapatti; Sector 5; Salt Lake,Sector 5, Salt Lake,['South Indian' 'Chinese' 'Continental' 'North Indian' 'Biryani' 'Mughlai' 'Snacks'],₹350 FOR TWO,,
Suchalis Artisan Bakehouse,Salt Lake,50+ ratings,48,Dag No.253 (MB-690 Mohishbathan Salt Lake (east) kolkata; WARD NO-7; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700029,Salt Lake,['Bakery'],₹350 FOR TWO,,,
Toasted & Roasted,Bidhannagar,Too Few Ratings,52,222; Nayapatti Main Road; Nayapatty; Sector V; Kolkata; West Bengal; India,Salt Lake,['Indian' 'Chinese' 'Continental' 'Barbecue' 'Mexican'],₹450 FOR TWO,,,
KWALITY WALLS EXPRESS,Sector V Salt Lake,Too Few Ratings,49,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Sector V Salt Lake,['Beverages' 'Ice Cream'],₹300 FOR TWO,,,
Sly Fox Gastro Club,Bidhannagar,20+ ratings,59,Plot X1-X11; Globsyn Crystals; EP Block; Sector-5; Salt Lake; Kolkata-700091,Globsyn Crystal, sector 5,['Continental' 'Chinese' 'Indian' 'Italian' 'European'],₹1200 FOR TWO,,
Purple Panda by Purple Foods,Salt Lake,Too Few Ratings,44,Carnival Cinemas Downtown Mall; Beside Cinema Box Office; Block IB- 177 & 178; Sector III; Salt Lake ; Kolkata ; West Bengal 700106,Salt Lake,['Chinese'],₹200 FOR TWO,,,
Motor Works & Brewing Company,Salt Lake,Too Few Ratings,50,EN-;SECTOR-V;SALT LAKE CITY ;KOLKATA-700071;BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION;NORTH TWENTY FOUR PARGANAS (WEST BENGAL)-700091,Salt Lake,['Indian' 'Tandoor' 'Snacks' 'Chinese' 'Pizzas' 'Biryani'],₹700 FOR TWO,,,
Curry nation,Bidhannagar,Too Few Ratings,57,IB- 194; Sector-iii; Salt Lake City; Kolkata- 700106,SECTOR-3,['Indian' 'Chinese'],₹500 FOR TWO,,,
Club Fenicia,Bidhannagar,Too Few Ratings,62,"Club	Fenicia; Godrej	Waterside;	Tower	1;	10th	floor;	DP	block;	Sector	V;	Salt	lake;	Kolkata-700091",Salt Lake,['Indian' 'European' 'Asian'],₹2000 FOR TWO,,,
Jungle Safari,Kankurgachi,20+ ratings,56,Mani Square Mall; 4th Floor; Mani Square; 164/1; Maniktala Main Road; EM Bypass; Kolkata 700054,Mani Square Mall,['North Indian'],₹900 FOR TWO,,,
Flame & Grill,Kankurgachi,Too Few Ratings,57,164/1; 4th Floor; Mani Square Mall; E.M. Bypass; Kankurgachi; Kolkata,Mani Square Mall,['North Indian' 'Continental'],₹900 FOR TWO,,,
The Biryani Life,Bidhannagar,Too Few Ratings,52,GN-26; BLOCK GN; SECTOR V; SALT LAKE CITY; KOLKATA 700091,SECTOR V,['Biryani' 'Hyderabadi' 'Lucknowi' 'North Indian' 'Mughlai' 'Desserts'],₹500 FOR TWO,,,
Anytime Pizza,Bidhannagar,Too Few Ratings,56,SHOP NO - NP-232 ;NAYAPATTI SALTLAKE SECTOR -5 KOLKATA-102 (OPPOSITE CHOK MANDIR),Opposite Chok Mandir,['Italian' 'Desserts'],₹300 FOR TWO,,,
Five Mad Men,Bidhannagar,Too Few Ratings,45,1st Floor of Omega building of Bengal Intelligent Parks Ltd Plot A2M2  N2 Block EP  GP Sector V SaltLake Electronic Complex Kolkata  700091,Sector V Salt Lake,['Italian' 'Continental' 'Chinese'],₹600 FOR TWO,,,
First Innings - The Stadel Hotel,Bidhannagar,Too Few Ratings,59,The Stadel; Gate 3; Salt Lake Stadium; Sector 3; Salt Lake ; Kolkata India,Sector 3,['North Indian' 'Chinese' 'Continental'],₹800 FOR TWO,,,
Tribe Cafe - European & Continental,Salt Lake,Too Few Ratings,52,AB-00025;AB-00025;SECTOR-I;SALTLAKE CITY;WARD NO-41;NORTH TWENTY FOUR PARGANAS;WEST BENGAL,Salt Lake,['Fast Food' 'Beverages' 'American' 'Cafe' 'Salads' 'Desserts' 'Continental'],₹500 FOR TWO,,,
Swirls,Bidhannagar,50+ ratings,43,shop no -NP 232; Nayapatti; Salt Lake; Sector V; Kolkata 7000102; beside TECHNOPOLIS,Beside Technopolis,['Desserts' 'Ice Cream'],₹200 FOR TWO,,,
Medley - Juicery & Beyond,Bidhannagar,100+ ratings,58,Beside Pantaloons; Megatherm Building; GP Block; Sector V; Bidhannagar; Kolkata; West Bengal 700091,Salt Lake, Sector V,['Beverages' 'Desserts' 'Healthy Food' 'Juices' 'Salads' 'Ice Cream'],₹150 FOR TWO,,
ICECREAM STATION,Salt Lake,Too Few Ratings,50,NP -232 NAYAPATTI;SALTLAKE SECTOR 5;  WARD NO-28; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal - 700102,Salt Lake,['Beverages' 'Ice Cream'],₹200 FOR TWO,,,
Hot and Fresh Fried Chicken,Salt Lake,Too Few Ratings,51,NP-232 NAYAPATTI NEAR CHOCK MANDIR KOLKATA-700102,Salt Lake,['Fast Food' 'Continental' 'Pizzas' 'Snacks' 'Beverages' 'Combo'],₹250 FOR TWO,,,
Shawarma Nation,Sector V Salt Lake,Too Few Ratings,54,433 NAYAPATTI ROAD;WARD NO-28;BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION;NORTH 24 PARGANAS;WEST BENGAL,Sector V Salt Lake,['Lebanese' 'Snacks' 'Indian' 'Mexican' 'Healthy Food' 'Continental'],₹300 FOR TWO,,,
Snacks Gali,Salt Lake,Too Few Ratings,49,NP-232 NAYAPATTI NEAR CHOCK MANDIR KOLKATA-700102,Salt Lake,['Fast Food' 'Italian' 'Desserts'],₹250 FOR TWO,,,
CHAIOLIC,Salt Lake,Too Few Ratings,48,KIOSK NO-1; GROUND FLOOR; NETGURU BUILDING; BLOCK-GP-E2/4; SECTOR-V; SALTLAKE;Kolkata;West Bengal-700091,Salt Lake,['Beverages' 'Fast Food'],₹200 FOR TWO,,,
House Of Kebabs,Salt Lake,Too Few Ratings,44,Block NP-214; Saltlake Sec-V-700102,Salt Lake,['Tandoor' 'Mughlai'],₹550 FOR TWO,,,
Holy Chow,Salt Lake,Too Few Ratings,47,Block NP-214; Saltlake Sec-V-700102,Salt Lake,['Chinese' 'Snacks'],₹550 FOR TWO,,,
Biryani Gully,Salt Lake,Too Few Ratings,47,NP-232; Nayapatti Main Rd; AP Block; Sector V; Bidhannagar; Kolkata; West Bengal 700102; India,Salt Lake,['Biryani' 'North Indian' 'Indian'],₹200 FOR TWO,,,
Shawarma Bros,Salt Lake,Too Few Ratings,48,NP-232; Nayapatti Main Road; Sector 5; Salt Lake; Kolkata-700091,Salt Lake,['Fast Food'],₹150 FOR TWO,,,
YUMMY SNACKS,Eco Park Newtown,Too Few Ratings,55,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Eco Park Newtown,['Snacks' 'Indian' 'Pizzas' 'Beverages'],₹200 FOR TWO,,,
APJ CLUB Sugar and Spice,Bidhannagar,Too Few Ratings,52,GROUND FLOOR;SDF BUILDING;SECTOR V;SALTLAKE;KOLKATA-700091,Salt Lake,['Bakery' 'Snacks'],₹300 FOR TWO,,,
FRENCH FRY SNACKS,Salt Lake,Too Few Ratings,51,NP -232 NAYAPATTI;SALTLAKE SECTOR 5;  WARD NO-28; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Four Parganas; West Bengal - 700102,Salt Lake,['Desserts' 'Pizzas' 'Chinese' 'Beverages'],₹200 FOR TWO,,,
Masala Fried Chicken,Salt Lake,Too Few Ratings,51,NP-232 NAYAPATTI NEAR CHOCK MANDIR KOLKATA-700102,Salt Lake,['Italian' 'Desserts'],₹250 FOR TWO,,,
Krazzy Fried Chicken,Salt Lake,Too Few Ratings,53,NP-232 NAYAPATTI NEAR CHOCK MANDIR KOLKATA-700102,Salt Lake,['Indian' 'Desserts'],₹250 FOR TWO,,,
Kwality Swirls,Bidhannagar,20+ ratings,45,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Newtown,Chakpachuriya,['Ice Cream' 'Beverages'],₹250 FOR TWO,,
Pour House,Bidhannagar,20+ ratings,56,1st Floor; Plot L1; Meghatherm Tower; Block GP; Sector 5; Salt Lake Near RDB Cinema,Near Pantaloons Sec V,['Indian' 'Italian' 'Chinese' 'Continental'],₹1200 FOR TWO,,,
10 Downing street,Bidhannagar,Too Few Ratings,55,Ground Floor; Plot G2; Block GP; PS Srijan Corporate Park; Sector 5; Salt Lake,Near RDB cinema hall,['Continental' 'Chinese' 'Indian' 'Tandoor' 'Kebabs'],₹1000 FOR TWO,,,
Bhikharam Chandmal Rajuji - Kankurgachi,Kankurgachi,100+ ratings,45,P-39; Maniktala Main Road; Kankurgachi; Kolkata - 700054;Kankurgachi;Kolkata,Kankurgachi,['Sweets' 'Desserts' 'Snacks' 'Fast Food'],₹150 FOR TWO,,,
Ebites@99,Salt Lake,50+ ratings,49,DAG-NO-4651;NAYAPATTY(EAST) SALT LAKE;,Salt Lake,['North Indian'],₹200 FOR TWO,,,
ebowl,Bidhannagar,100+ ratings,46,DAG-NO-4651;NAYAPATTY(EAST) SALT LAKE;,Sector V Salt Lake,['Indian' 'Chinese' 'Beverages' 'Combo' 'Biryani'],₹150 FOR TWO,,,
Red Xpress,Bidhannagar,Too Few Ratings,60,Bengal Intelligent Park; Sector 5; Salt Lake,Near Webel More,['North Indian' 'Chinese'],₹1000 FOR TWO,,,
Waffle Square,Bidhannagar,Too Few Ratings,50,NP 232 Sector 5 Kolkata 700102,Sector 5,['Desserts'],₹200 FOR TWO,,,
STREETARY,Salt Lake,Too Few Ratings,54,Ground Floor; JC 21; Saltlake City; Sector III; Kolkata - 700091,Salt Lake,['Street Food' 'South Indian' 'Snacks' 'Indian' 'Fast Food'],₹200 FOR TWO,,,
ARABIAN WRAPS,Sector 5,Too Few Ratings,55,NP 232 Sector 5,Sector 5,['Chinese' 'Pizzas' 'Beverages'],₹200 FOR TWO,,,
Naughty Pizza House,Eco Park Newtown,Too Few Ratings,50,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Eco Park Newtown,['Pizzas' 'Combo'],₹200 FOR TWO,,,
WRAPS SANDWICHES,Eco Park Newtown,Too Few Ratings,56,NP -232 NAYAPATTI;SALTLAKE SECTOR 5; WARD NO-28; BIDHANNAGAR-RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal - 700102,Eco Park Newtown,['Beverages' 'Ice Cream' 'Waffle'],₹200 FOR TWO,,,
Shawarma Express,Salt Lake,Too Few Ratings,55,NETGURU BUILDING; PREMISES NO.  E2-5;BLOCK -GP; SECTOR-5; SALTLAKE  CITY;PS- ELECTRONICS COMPLEX;  KOLKATA -700091 KOLKATA-; WARD  NO-28; BIDHANNAGAR-RAJARHAT  MUNICIPAL CORPORATION; North Twenty  Fou,Salt Lake,['Middle Eastern' 'Lebanese'],₹250 FOR TWO,,,
Momo Maya,Kankurgachi,100+ ratings,52,120A; Maniktala Main Road Kankurgachi; BRS 10; Ghose Bagan; Kolkata; West Bengal 700054; India,Kankurgachi,['Tibetan' 'Chinese' 'Asian' 'Pan-Asian' 'Nepalese' 'Thai' 'Seafood' 'Burmese' 'Japanese' 'Malaysian' 'Healthy Food'],₹300 FOR TWO,,,
So Southy,Bidhannagar,100+ ratings,52,Ward no 28; Mahisbathan ; Sec V ; Salt lake ; Pincode- 700102,Salt Lake,['South Indian' 'Jain' 'Desserts' 'Beverages'],₹300 FOR TWO,,,
Bhatura Singh,Kankurgachi,100+ ratings,51,120A; Maniktala Main Road Kankurgachi; BRS 10; Ghose Bagan; Kolkata; West Bengal 700054; India,Kankurgachi,['North Indian' 'Punjabi' 'Street Food' 'Fast Food' 'Beverages' 'Sweets'],₹300 FOR TWO,,,
Soul Cafe,Kankurgachi,Too Few Ratings,49,78;CANAL CIRCULAR ROAD;BESIDE APOLLO HOSPITAL ON EM; BYPASS,BESIDE APOLLO HOSPITAL,['Italian' 'Bakery'],₹250 FOR TWO,,,
Happiness station,Salt Lake,Too Few Ratings,46,NP 232 Sector 5; Kolkata 700102,Sector 5,['Ice Cream'],₹200 FOR TWO,,,
Dreeam Waffles and Shakes,Bidhannagar,Too Few Ratings,69,Beside Pantaloons; Megatherm Building; GP Block; Sector V; Bidhannagar; Kolkata; West Bengal 700091,Sector V Salt Lake,['Beverages' 'Desserts'],₹200 FOR TWO,,,
COFFEE WORLD,Salt Lake,Too Few Ratings,50,SHOP NO.305; 164/1; MANIKTALA MAIN ROAD; MANI SQUARE MALL;; KOLKATA MUNICIPAL CORPORATION; Kolkata; West Bengal-700054,Salt Lake,['Beverages' 'Fast Food' 'Snacks' 'Pizzas'],₹300 FOR TWO,,,
Sankalp,Bidhannagar,50+ ratings,53,Shop R 4A & 4B; Plot 5; Block DP; Podium Level Godrej Waterside; Sector 5; Salt Lake; Kolkata,Godrej Waterside,['South Indian' 'Beverages' 'Ice Cream' 'Desserts'],₹300 FOR TWO,,,
