name,area,totalRatingsString,deliveryTime,address,locality,cuisines,costForTwoString,,,
Wow! Momo,Bidhannagar,500+ ratings,39,Ground Floor City Centre 1;SSector 1 Salt lake,City centre 1,['Tibetan' 'Healthy Food' 'Asian' 'Chinese' 'Snacks' 'Continental' 'Desserts' 'Beverages'],₹300 FOR TWO,,,
POCKETMEAL99,salt lake sector -v,1000+ ratings,49, DN-46;SECTOR - V;SALTLAKE; P.O- SECH BHAVAN; P.S. - ELECTRONICS COMPLEX ;; BIDHANNAGAR- RAJARHAT MUNICIPAL CORPORATION; North Twenty Four Parganas; West Bengal; 700091,salt lake sector -v,['Biryani' 'Mughlai' 'North Indian' 'Bengali' 'Snacks'],₹200 FOR TWO,,,
KFC,Bidhannagar,500+ ratings,44,KFC Saltlake ;City Centre I;DC Block;Sector-1;Shop No-105;Kolkata-700064,KFC Saltlake,['American' 'Snacks' 'Biryani'],₹450 FOR TWO,,,
DIETO,Bidhannagar,20+ ratings,52,DD7 PRANGAN; 2ND FLR; SALT LAKE; SECTORI; KOLKATA,Salt Lake,['Healthy Food'],₹200 FOR TWO,,,
Keventers - Milkshakes and Desserts,SALT LAKE CITY,50+ ratings,37,BF-199; SALT LAKE CITY; SECTOR-1; Bidhannagar-Rajarhat Municipal corporation; North TwentyFour Pargans; West Bengal -700064,SALT LAKE CITY,['Beverages' 'Ice Cream' 'Desserts' 'Healthy Food'],₹300 FOR TWO,,,
aamio bengali,Lake Town,100+ ratings,43,BL-37; Sector -2 Salt Lake City Kolkata; North Twenty Four Parganas;west,Lake Town,['Bengali' 'Bangladeshi' 'Indian' 'Seafood' 'Desserts' 'Thalis'],₹200 FOR TWO,,,
Bhojohori Manna,Bidhannagar,100+ ratings,38,CF 206; Sector 1; Salt Lake,Near Swimming pool,['Bengali'],₹900 FOR TWO,,,
Berlin Burgers,Salt Lake,50+ ratings,41,CF 335; SECTOR I; SALT LAKE CITY; CF Block; Sector 1; Bidhannagar; Kolkata; West Bengal 700091; India,Salt Lake,['Fast Food' 'Seafood'],₹400 FOR TWO,,,
CAFE DARSHANI,Salt Lake,20+ ratings,43,GROUND FLOOR AT CF-119; SECTOR-1;  SALT LAKE CITY ; WARD NO-11;  BIDHANNAGAR-RAJARHAT MUNICIPAL  CORPORATION; North Twenty Four  Parganas; West Bengal-700064,Salt Lake,['South Indian'],₹280 FOR TWO,,,
Cakes by Mama Mia!,Salt Lake,50+ ratings,35,BJ144; Saltlake; Sector-II; Bidhan Nagar; North 24 PGNS; Kolkata; West Bengal  700091,Salt Lake,['Bakery' 'Desserts'],₹300 FOR TWO,,,
